2018-01-22 12:03:13 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (e6b6062c4a77f05a72d3c59e6b73b3c3)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 12:20:53 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 12:20:54 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (22dd4bdb6efa0dd80984532e4f80134c)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 12:21:57 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 12:24:29 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 12:24:31 INFO  HomePage:39 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (a581f088fec0200027ba348b9d6c5fbf)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
2018-01-22 12:25:32 INFO  HomePage:46 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 12:25:32 INFO  HomePage:49 -Clicked on askLifestages and object is [[ChromeDriver: chrome on XP (a581f088fec0200027ba348b9d6c5fbf)] -> xpath: //*[@id='app']/div/div/main/div/div[1]/div[3]/form/div[1]/div/div/div/div[2]/div/textarea]
2018-01-22 12:26:32 INFO  HomePage:52 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[2]/div'
2018-01-22 12:27:32 INFO  HomePage:54 -Clicked on askLifestages and object is Proxy element for: DefaultElementLocator 'By.xpath: //*[@id='app']/div/div/main/div/div/div[2]/div/div[1]/div[2]/div[1]/div[2]/div[2]/div[1]/div/a'
2018-01-22 12:27:32 INFO  TestBase:24 -============Finished Question and Answers forum================
2018-01-22 12:31:39 INFO  TestBase:21 -============Starting Question and Answer forum================
2018-01-22 12:31:40 INFO  HomePage:41 -Clicked on askMoms and object is [[ChromeDriver: chrome on XP (f8678b8a3c3156a83fe348f9b8009268)] -> xpath: //*[@id='app']/div/div/header/div[1]/section[3]/a[1]]
